"key","fr","en"
"level_design_tools.paragraph_1","Pour <strong>faciliter la création de niveaux</strong>, les éléments qui peuvent avoir des <strong>visuels alternatifs</strong> avaient une simple variable exposée qui changeait <strong>automatiquement</strong> les <strong>visuels</strong> et leurs <strong>comportements</strong>.

Cela permettait aux Game Designers d'utiliser <strong>le même prefab</strong> pour chacun des éléments, et de les modifier au besoin <strong>facilement</strong>.","To <strong>make level creation easier</strong>, elements with <strong>alternative visuals</strong> had a simple exposed variable that <strong>automatically</strong> changed their <strong>appearance</strong> and <strong>behavior</strong>.

This let the Game Designers use <strong>the same prefab</strong> for each element and <strong>easily</strong> adjust it as needed."
"media.two_dragons.label","Gif Mobile Puzzle Double Dragons","Two different dragons"
"multiple_note_types.heading","Niveaux avec plusieurs types de notes","Levels with multiple note types"
"multiple_note_types.paragraph_1","Certains niveaux ont 2 bardes, 2 notes et 2 dragons <strong>différents</strong>. Ici on peut les différencier facilement avec les <strong>couleurs</strong>.

Avec le système permettant aux prefabs de changer automatiquement de visuel, ça a été très simple d'implémenter ce genre de niveaux.","Some levels have 2 <strong>different</strong> bards, notes, and dragons. Here, they are easy to distinguish by their <strong>colors</strong>.

The system for automatically changing prefab visuals made these types of levels very easy to implement."
"media.damaged_instruments.label","Gif Mobile Puzzle Grey Obstacles","Damaged instruments"
"damaged_instruments.heading","Les instruments délabrés","Damaged instruments"
"damaged_instruments.paragraph_1","Chaque instrument a une version <strong>délabrée</strong>, qui peut être utilisée dans le <strong>level design</strong> de n'importe quel niveau.

Ils fonctionnent de la même manière que les instruments classiques, sauf que le joueur <strong>ne peut pas les modifier ou déplacer</strong>.","Each instrument has a <strong>damaged</strong> version that can be used in the <strong>level design</strong> of any level.

They work in the same way as regular instruments, except the player <strong>cannot modify or move them</strong>."
"download.heading","Lien pour le télécharger","Download"
"download.paragraph_1","Vous pouvez le chercher sur le Google Play Store, utiliser ce QR code ou alors utiliser ce <google_play>lien</google_play>:","You can search for the game on the Google Play Store, scan this QR code, or use this <google_play>link</google_play>:"
"media.dragons_cadence_qr_code.label","Dragons Cadence Qr Code","Dragon's Cadence QR code"
